trial_num,block,pair_type,iti,high_size_on_left,left_size_group,right_size_group,left_size_num,right_size_num,delta_size,left_category,right_category,left_exemplar,right_exemplar,left_index,right_index,left_img,right_img,left_img_path,right_img_path
79,1,M-XL,4500,1,XL,M,4,2,2,crane,handsaw,crane4,handsaw4,163,83,crane5.jpg,handsaw3.jpg,Stimuli/Size_stims/XL/crane/crane5.jpg,Stimuli/Size_stims/M/handsaw/handsaw3.jpg
80,1,M-XL,500,1,XL,M,4,2,2,tractor,handsaw,tractor6,handsaw1,185,80,tractor3.jpg,handsaw8.jpg,Stimuli/Size_stims/XL/tractor/tractor3.jpg,Stimuli/Size_stims/M/handsaw/handsaw8.jpg
81,1,XL-XL,1500,NA,XL,XL,4,4,0,car,tractor,car2,tractor10,151,189,car3.jpg,tractor8.jpg,Stimuli/Size_stims/XL/car/car3.jpg,Stimuli/Size_stims/XL/tractor/tractor8.jpg
82,1,S-XL,5000,0,S,XL,1,4,-3,die,crane,die7,crane8,106,167,die4.jpg,crane10.jpg,Stimuli/Size_stims/S/die/die4.jpg,Stimuli/Size_stims/XL/crane/crane10.jpg
83,1,M-XL,500,1,XL,M,4,2,2,tractor,basketball,tractor4,basketball4,183,53,tractor4.jpg,basketball1.jpg,Stimuli/Size_stims/XL/tractor/tractor4.jpg,Stimuli/Size_stims/M/basketball/basketball1.jpg
84,1,M-XL,500,0,M,XL,2,4,-2,ketchup,dumptruck,ketchup1,dumptruck3,90,172,ketchup8.jpg,dumptruck10.jpg,Stimuli/Size_stims/M/ketchup/ketchup8.jpg,Stimuli/Size_stims/XL/dumptruck/dumptruck10.jpg
85,1,S-L,1500,1,L,S,3,1,2,garbagecan,teabag,garbagecan1,teabag4,30,133,garbagecan4.jpg,teabag3.jpg,Stimuli/Size_stims/L/garbagecan/garbagecan4.jpg,Stimuli/Size_stims/S/teabag/teabag3.jpg
86,1,S-XL,6000,1,XL,S,4,1,3,crane,thread,crane7,thread5,166,144,crane3.jpg,thread1.jpg,Stimuli/Size_stims/XL/crane/crane3.jpg,Stimuli/Size_stims/S/thread/thread1.jpg
87,1,S-XL,500,1,XL,S,4,1,3,van,die,van10,die10,199,109,van8.jpg,die6.jpg,Stimuli/Size_stims/XL/van/van8.jpg,Stimuli/Size_stims/S/die/die6.jpg
88,1,S-XL,1000,0,S,XL,1,4,-3,teabag,tractor,teabag7,tractor7,136,186,teabag10.jpg,tractor2.jpg,Stimuli/Size_stims/S/teabag/teabag10.jpg,Stimuli/Size_stims/XL/tractor/tractor2.jpg
89,1,S-L,1000,1,L,S,3,1,2,mailbox,teabag,mailbox3,teabag8,42,137,mailbox1.jpg,teabag7.jpg,Stimuli/Size_stims/L/mailbox/mailbox1.jpg,Stimuli/Size_stims/S/teabag/teabag7.jpg
