,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,isi,iti,is_practice,block,old_trial,pair_type,within_category,high_cat_on_left,left_category,right_category,left_category_value,right_category_value,left_exemplar,right_exemplar,left_exemplar_value,right_exemplar_value,left_img,right_img,left_img_path,right_img_path,left_chosen,chosen_category,unchosen_category,chosen_category_value,unchosen_category_value,chosen_exemplar,unchosen_exemplar,chosen_exemplar_value,unchosen_exemplar_value,no_response,onset,duration,end_practice,total_bonus_tally
1545,,confirmation,,html-keyboard-response,1545,2282900,0.0-1.0-294.0-0.0-1.0-0.0,0,0,95248,,,,,,292.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5,0.297,,
1546,,isi,,html-keyboard-response,1546,2284909,0.0-1.0-294.0-0.0-2.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.5,2.0,,
1547,,feedback,,html-keyboard-response,1547,2285916,0.0-1.0-294.0-0.0-3.0-0.0,0,0,95248,,,,,,292.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5,1.0,,
1548,,iti,,html-keyboard-response,1548,2289424,0.0-1.0-294.0-0.0-5.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,3.5,,
1549,,choice,,html-keyboard-response,1549,2290087,0.0-1.0-295.0-0.0-0.0,0,0,95248,,657.0,,,75.0,293.0,310.0,1000.0,1000.0,0.0,6.0,1.0,60-60,1.0,,sofa,sofa,60.0,60.0,sofa7,sofa15,80.0,80.0,JACKSON-MS6007loveseat59X36X33.jpg,APEACHLOV.jpg,/static/Category_learning/Stimuli/Experimental_stims/sofa/JACKSON-MS6007loveseat59X36X33.jpg,/static/Category_learning/Stimuli/Experimental_stims/sofa/APEACHLOV.jpg,0.0,sofa,sofa,60.0,60.0,sofa15,sofa7,80.0,80.0,0.0,35.657,0.657,,
1550,,confirmation,,html-keyboard-response,1550,2290939,0.0-1.0-295.0-0.0-1.0-0.0,0,0,95248,,,,,,293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5,0.843,,
1551,,isi,,html-keyboard-response,1551,2291947,0.0-1.0-295.0-0.0-2.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,1.0,,
1552,,feedback,,html-keyboard-response,1552,2292954,0.0-1.0-295.0-0.0-3.0-0.0,0,0,95248,,,,,,293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5,1.0,,
1553,,iti,,html-keyboard-response,1553,2293959,0.0-1.0-295.0-0.0-5.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5,1.0,,
1554,,choice,,html-keyboard-response,1554,2295016,0.0-1.0-296.0-0.0-0.0,0,0,95248,,1052.0,,,75.0,294.0,311.0,1500.0,2000.0,0.0,6.0,1.0,80-80,1.0,,yarn,yarn,80.0,80.0,yarn8,yarn12,60.0,60.0,smonlineyarn-285x250.jpg,Aballofyarn35.jpg,/static/Category_learning/Stimuli/Experimental_stims/yarn/smonlineyarn-285x250.jpg,/static/Category_learning/Stimuli/Experimental_stims/yarn/Aballofyarn35.jpg,0.0,yarn,yarn,80.0,80.0,yarn12,yarn8,60.0,60.0,0.0,40.552,1.052,,
1555,,confirmation,,html-keyboard-response,1555,2295473,0.0-1.0-296.0-0.0-1.0-0.0,0,0,95248,,,,,,294.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,0.448,,
1556,,isi,,html-keyboard-response,1556,2296982,0.0-1.0-296.0-0.0-2.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.5,1.5,,
1557,,feedback,,html-keyboard-response,1557,2297989,0.0-1.0-296.0-0.0-3.0-0.0,0,0,95248,,,,,,294.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.5,1.0,,
1558,,iti,,html-keyboard-response,1558,2299996,0.0-1.0-296.0-0.0-5.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5,2.0,,
